Number,ITEM,Name,Name,Name,Name,Name,Function,Function,Construction Year,Construction Year,Construction Year,Construction Year,Associated Figure,Associated Figure,Associated Figure,,,Location,Location,Location,Location,Location,
Monument ID,Name_Ministry of Antiquity_en,Ministry of Antiquity_ar,Ministry of Antiquity_variant,D. Abouseif_en,Napoleon's Map_ar,Napoleon's Map_fr,Facility Number,Facility Name,Ministry of Antiquity_AH,Ministry of Antiquity_AD,Abouseif,Fukami,Arabic,Variant,English,Latitude,Longtitude,Ministry of Antiquities,Nicholas Warner,Napoleon's Map_Region,Napoleon's Map_Area,Napoleon's Map_Monument ID,URL
344,al-Qadi Yahya at Bulaq,مسجد القاضى يحيى ( بولاق ),al-Qāḍī Yaḥyā,N/A,N/A,N/A,b,mosque,852-53,1448-49,1448-9,1448/9,القاضى يحيى,al-Qāḍī Yaḥyā,al-Qadi Yahya ,30.06126,31.230042,1B,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument344
344,al-Qadi Yahya at Bulaq,مسجد القاضى يحيى ( بولاق ),al-Qāḍī Yaḥyā,N/A,N/A,N/A,c,minaret,852-53,1448-49,1448-9,1448/9,القاضى يحيى,al-Qāḍī Yaḥyā,al-Qadi Yahya ,30.061382,31.229914,1B,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument344
345,Salih Agha,منارة مسجد صالح اغا,Ṣāliḥ Āghā,N/A,N/A,N/A,,minaret,about 1220,1805,N/A,1805,صالح اغا,Ṣāliḥ Aghā,Salih Agha,30.058315,31.228637,2A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument345
346,al-'Amrani,مئذنة مسجد العمرانى,al-ʻAmrānī,Shiekh Ali al-Amrani,N/A,N/A,a,minaret,11th cent.,17th cent.,N/A,1750,العمرانى,al-ʻImrānī,al-Imrani,30.060712,31.23147,1B,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument346
346,al-'Amrani,مئذنة مسجد العمرانى,al-ʻAmrānī,Shiekh Ali al-Amrani,N/A,N/A,b,mosque,11th cent.,17th cent.,N/A,1750,العمرانى,al-ʻImrānī,al-Imrani,30.060692,31.231562,1B,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument346
347,Mirza,سبيل وقف ميرزا,Mirzā,Amir Mustafa Gurbagi Mirza,N/A,N/A,,sabil,1110,1698,N/A,1698,ميرزا,Mīrzā,Mirza,30.059632,31.22922,2B,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument347
348,al-'Alaya,مئذنة العلايا,al-ʻAlāyā,N/A,N/A,N/A,a,minaret,11th cent.,17th cent.,N/A,1650,محمد العلايا,Muḥammad al-ʻAlāyā,Muhammad al-Alaya,30.062901,31.230684,1B,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument348
348,al-'Alaya,مئذنة العلايا,al-ʻAlāyā,N/A,N/A,N/A,b,mosque,11th cent.,17th cent.,late 15c.,1650,محمد العلايا,Muḥammad al-ʻAlāyā,Muhammad al-Alaya,30.06302,31.230672,1B,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument348
349,Sinan Pasha,مسجد سنان باشا,Sīnān Pasha,N/A,N/A,N/A,a,minaret,979,1571,N/A,1571,سنان باشا,Sinān Bāshā,Sinan Basha,30.061943,31.229399,1B,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument349
349,Sinan Pasha,مسجد سنان باشا,Sīnān Pasha,N/A,N/A,N/A,b,mosque,979,1571,N/A,1571,سنان باشا,Sinān Bāshā,Sinan Basha,30.062103,31.229429,1B,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument349
350,Sidi Hafez,واجهة ضريح سيدى حافظ,,N/A,N/A,N/A,,mausoleum,N/A,N/A,N/A,unknown,سيدى حافظ,Sayyidī Ḥāfiẓ,Sayyidi Hafiz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument350
351,az-Zarakisha,خان الزراكشة,az-Zarākisha,N/A,وكالة الجراكشه,Okâlt el-Garâkcheh ,,wikala,beginning 10th cent.,16th cent.,early 16c.,1509,السلطان الاشرف قايتباى,al-Sulṭān al-Ashraf Qāytbāy,al-Sultan al-Ashraf Qaytbay,30.046102,31.261603,5H,13,VII,K-5,164,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument351
352,"North, Salah ad-Din",سور القاهرة الشمالى ( بدر الجمالى ),Ṣalāḥ ad-Dīn,N/A,N/A,N/A,a,fort,480,1087,N/A,1087,بدر الجمالى /  السلطان الناصر صلاح الدين يوسف بن أيوب ,U/C,U/C,N/A,N/A,"2,3H,2EFGH",18,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument352
352,"North, Salah ad-Din",سور القاهرة الشمالى ( بدر الجمالى ),Ṣalāḥ ad-Dīn,N/A,N/A,N/A,b,fort,480,1087,N/A,1087,بدر الجمالى /  السلطان الناصر صلاح الدين يوسف بن أيوب ,U/C,U/C,N/A,N/A,"2,3H,2EFGH",18,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument352
353,al-Arbain,زاوية الاربعين,,N/A,N/A,N/A,,mosque,N/A,N/A,N/A,1850,N/A,N/A,N/A,30.033704,31.253318,N/A,23,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument353
354,Abd al-Latif al-Manawi,قبة المناوى,ʻAbd al-Laṭīf al-Manāwī,N/A,N/A,N/A,,mausoleum,before 1031,1621,N/A,1621,N/A,N/A,N/A,30.056103,31.255682,3G,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument354
355,Abd al-Wahid al-Fasi,منزل وقف الحاج عبد الواحد الفاسى,ʻAbd al-Wāḥid al-Fāsī,Abd al-Wahid al-Fasi,N/A,Cistern,a,sabil,10th cent.,16th cent.,16c.,1550,الحاج عبد الواحد الفاسى,al-Ḥājj ‘Abd al-Wāḥid al-Fāsī,al-Hajj Abd al-Wahid al-Fasi,30.047983,31.258139,4G,20,V,I-7,127'',https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument355
355,Abd al-Wahid al-Fasi,منزل وقف الحاج عبد الواحد الفاسى,ʻAbd al-Wāḥid al-Fāsī,Abd al-Wahid al-Fasi,N/A,元のV-127の位置地図記載,b,residence,10th cent.,16th cent.,16c.,1550,الحاج عبد الواحد الفاسى,al-Ḥājj ‘Abd al-Wāḥid al-Fāsī,al-Hajj Abd al-Wahid al-Fasi,30.047953,31.257831,4G,20,V,I-7,127',https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument355
356,Haret al-Mabyada,بوابة حارة المبيضة,Ḥāret al-Mabyaḍa,N/A,N/A,N/A,,bab,1084,1673,N/A,1673, محمد كتخدا مستحفظان / ذو الفقار كتخدا مستحفظان,Muḥammad Katkhudā Mustaḥfiẓān and Dhū al-Fiqār Katkhdā Mustaḥfiẓān,Muhammad Katkhuda Mustahfizan and Dhu al-Fikar Katkhda Mustahfizan,30.051015,31.263482,4H,12,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument356
357,ash-Shurafa,ضريح الشرفا,ash-Shurafā,N/A,N/A,N/A,a,mausoleum,before 901,1496,N/A,1496,السلطان الاشرف قايتباى,al-Sulṭān al-Ashraf Qāytbāy,al-Sultan al-Ashraf Qaytbay,30.031527,31.263018,8H,2,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument357
357,ash-Shurafa,ضريح الشرفا,ash-Shurafā,N/A,N/A,N/A,b,sabil,before 901,1496,N/A,1496,السلطان الاشرف قايتباى,al-Sulṭān al-Ashraf Qāytbāy,al-Sultan al-Ashraf Qaytbay,30.031497,31.263019,8H,2,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument357
358,Nafisa al-Bayda,سبيل نفيسة البيضا,Nafīsa al-Bayḍā,"Nafisa al-Bayda, wife of 'Ali Bey al-Kabir and wife of Murad Bey",N/A,N/A,,sabil kuttab,1211,1796,N/A,1796,نفيسة,Nafīsa,Nafisa,30.043038,31.257951,5G,21,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument358
359,Ali Negm,قبة على نجم,ʻAlī Negm,N/A,زاوية الشيخ علي نجم,Zâouyet el-cheykh A’ly Negm ,a,mausoleum,11th cent.,17th cent.,N/A,1450,على نجم,‘Alī Najm,Ali Najm,30.042668,31.256861,5G,21,VIII,M-7,345,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument359
359,Ali Negm,قبة على نجم,ʻAlī Negm,N/A,زاوية الشيخ علي نجم,Zâouyet el-cheykh A’ly Negm ,b,mosque,11th cent.,17th cent.,N/A,1650,على نجم,‘Alī Najm,Ali Najm,30.042718,31.256876,5G,21,VIII,M-7,345,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument359
360,Qansuh Abu Sa'id,قبة قانصوه ابو سعيد ( سكة المحجر ),Qānṣūh Abū Saʻīd,"Qansuh Abu Sa'id, amir of Sultan Qaytbay, become Sultan Qansuh(1498-1500),another tombNo.164",N/A,N/A,,mausoleum,904,1499,N/A,1499,قانصوه ابو سعيد,Qānṣūh Abū Saʻīd,Qansuh Abu Said,30.031957,31.259092,8G,9,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument360
361,Hasan,سبيل ومنزل حسن ( درب المسمط ),,N/A,N/A,N/A,a,sabil,N/A,N/A,N/A,1779,حسن,Ḥasan,Hasan,30.050423,31.263615,N/A,12,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument361
361,Hasan,سبيل ومنزل حسن ( درب المسمط ),,N/A,N/A,N/A,b,residence,N/A,N/A,N/A,1779,حسن,Ḥasan,Hasan,30.050388,31.263656,N/A,12,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument361
362,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument362
363,Ibrahim Shurbagi Mustafizan,سبيل ابراهيم جوربجى,Ibrāhīm Shurbagī Mustaḥfiẓān,Ibrahim Shurbagi Mustafizan,سبيل الداوديه,Sibyl el-Dâoudyeh,,sabil,1106,1694,N/A,1684,ابراهيم جوربجى,Ibrāhīm Jūrbajī,Ibrahim Jurbaji,30.0401,31.255257,6G,21,VIII,O-7,323,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument363
364,Abd al-Hamid Wa'du,منزل عبد الحميد وعدى,ʻAbd al-Ḥamīd Waʻdī,N/A,N/A,Maison des gens de l’Ouâly,,residence,1015,1606,N/A,1606,عبد الحميد وعدى,‘Abd al-Ḥamīd Waʻdī,Abd al-Hamid Wadi,30.04205,31.258385,6G,21,VIII,N-6,238,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument364
365,Radwan Bey,زاوية رضوان بك ( الزاوية الغربية ),Raḍwān Bey,N/A,زاوية القربيه,Zâouyet el-Qerabyeh ,a,mausoleum,1060,1650,N/A,1650,رضوان بك,Riḍwān Bak,Ridwan Bak,30.042168,31.257017,6G,21,VIII,N-7,332,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument365
365,Radwan Bey,زاوية رضوان بك ( الزاوية الغربية ),Raḍwān Bey,N/A,زاوية القربيه,Zâouyet el-Qerabyeh ,b,mosque,1060,1650,N/A,1650,رضوان بك بن عبد الله الفقاري,Riḍwān Bak b. 'Abd Allāh al-Fiqārī,Ridwan Bak b. Abd Allah al-Fiqari,30.042168,31.257017,6G,21,VIII,N-7,332,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument365
366,al-Fakhani,سقيفة الفكهانى,,N/A,بيت علي كيخيه خربطلي ,Beyt A’ly Kykhyeh Khourbatly ,,residence,N/A,N/A,N/A,1550,الفكهانى,al-Fakḥānī,al-Fakhani,30.043587,31.261477,N/A,13,VIII,L-5?,218,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument366
367,al-Kharbutli,وكالة الخربوطلى,,N/A,وكالة الخربطلي,Okâlt el-Khourbatly,,wikala,N/A,N/A,N/A,1762,الخربوطلى,al-Kharbūṭlī,al-Kharbutli,30.044242,31.258717,N/A,20,VIII,L-6,276,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument367
368,Munib al-'Alayli abd Shaukh al-Qayati,منزلا الألايلى والقاياتى,Munīb al-ʻAlāylī / Shaykh al-Qāyāṭī,N/A,N/A,N/A,,residence,end 12th cent.,18th cent.,N/A,1750,الألايلى والقاياتى,al-Alāyilī / al-Qāyātī,al-Alayli / al-Qayati,30.04276,31.258025,5G,21,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument368
369,Old,بقايا ساقية الناصر محمد,Old Water-Wheel,Sultan al-Nasir Muhammad,N/A,N/A,,water wheel,712,1312,1311,1312,السلطان الناصر محمد بن قلاوون,al-Sulṭān al-Nāṣir Muḥammad b. Qalāwūn,al-Sultan al-Nasir Muhammad b. Qalawun,30.026515,31.259418,9G,10,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument369
370,Aqtay al-Farisi,ايوان فارس الدين اقطاى,,"Aqtay al-Farisi, mamluk of Baybars",N/A,N/A,a,mausoleum,N/A,N/A,N/A,1254,فارس الدين اقطاى,Fāris al-Dīn Aqṭāy,Faris al-Din Aqtay,30.025965,31.261638,N/A,3,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument370
370,Aqtay al-Farisi,ايوان فارس الدين اقطاى,,"Aqtay al-Farisi, mamluk of Baybars",N/A,N/A,b,sabil,N/A,N/A,N/A,1254,فارس الدين اقطاى,Fāris al-Dīn Aqṭāy,Faris al-Din Aqtay,30.026085,31.261709,N/A,3,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument370
371,Udah Basha,زاوية اوده باشي,,Amir Muhammad Katkhuda and Amir Dhulfiqar Katkhuda(brother of Muhammad),زاوية سوق العصر,Zâouyet Souq el-A’sr ,,mosque,N/A,N/A,N/A,1673,اوده باشي,Oda Bāshi,Oda Bashi,30.05258,31.263939,N/A,18,VII,F-5,337,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument371
372,Taibugha at-Tawil,قبة الامير طيبغا الطويل,Ṭaibughā aṭ-Ṭawīl ,Amir Taibugha at-Tawil,N/A,N/A,,mausoleum,before 768,1366,1366,1366,الامير طيبغا الطويل,al-Amīr Ṭaybughā al-Ṭawīl,al-Amir Taybugha al-Tawil,30.041989,31.274379,6K,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument372
373,Abu'l Khayr Muhammad as-Sufi,قبة ابو الخير محمد الصوفى,Abuʼl-Khayr Muḥammad aṣ-Ṣūfī,N/A,N/A,N/A,,mausoleum,853,1449,N/A,1449,ابو الخير محمد الصوفى,Abū al-Khayr Muḥammad al-Ṣūfī,Abu al-Khayr Muhammad al-Sufi,30.042099,31.274665,6K,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument373
374,Khwand Zahra,زاوية وسبيل الشيخ مرشد,,"Khwand Zahra, daughter of Sultan al-Nasir",سبيل الزاوية شيخ مورشد,Sibyl el-Zâouyet cheykh Mourchad ,a,minaret,N/A,N/A,N/A,14c.,الشيخ مرشد,al-Shaykh Murshid,al-Shaykh Murshid,N/A,N/A,?,8,VIII,Q-4,70,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument374
374,Shaykh Murshid,زاوية وسبيل الشيخ مرشد,,N/A,سبيل الزاوية شيخ مورشد,Sibyl el-Zâouyet cheykh Mourchad ,b,mosque,N/A,N/A,N/A,1533,الشيخ مرشد,al-Shaykh Murshid,al-Shaykh Murshid,30.035081,31.260329,N/A,8,VIII,Q-4,70,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument374
374,Shaykh Murshid,زاوية وسبيل الشيخ مرشد,,N/A,سبيل الزاوية شيخ مورشد,Sibyl el-Zâouyet cheykh Mourchad ,c,sabil kuttab,N/A,N/A,N/A,1533,الشيخ مرشد,al-Shaykh Murshid,al-Shaykh Murshid,30.035141,31.260264,N/A,8,VIII,Q-4,70,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument374
374,Shaykh Murshid,زاوية وسبيل الشيخ مرشد,,N/A,سبيل الزاوية شيخ مورشد,Sibyl el-Zâouyet cheykh Mourchad ,d,wikala,N/A,N/A,N/A,1533,الشيخ مرشد,al-Shaykh Murshid,al-Shaykh Murshid,30.035024,31.260283,N/A,8,VIII,Q-4,70,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument374
375,Hasan 'Abd al-Latif,منزل حسن عبد اللطيف,,N/A,وكالة السبيل ستي نفيسة مراد بيه,Okâlt el-Sibyl Sitty Nefyseh Mourâd bey ,,residence,N/A,N/A,N/A,1750,حسن عبد اللطيف,Ḥasan ‘Abd al-Laṭīf,Hasan Abd al-Latif,30.034716,31.259342,N/A,15,VIII,M-6,256,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument375
376,Emir Khalil,سبيل الامير خليل,Emīr Khalīl,N/A,N/A,N/A,,sabil,1174,1761,N/A,1761,الامير خليل,al-Amīr Khalīl,al-Amir Khalil,30.034099,31.258238,7G,15,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument376
377,Qara Muhammad 'Ali,مسجد الحاج محمد باشا,Qarā Muḥammad ʻAlī,"Muhammad 'Ali, governor of Egypt(1699-1704)",زاوية الأربعين,Zâouyet el-Arba’yn,a,mausoleum,1113,1701,N/A,1701,الحاج محمد باشا,al-Ḥājj Muḥammad Bāshā,al-Hajj Muhammad Basha,30.0278,31.258242,9G,10,II,U-4,235,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument377
377,Qara Muhammad 'Ali,مسجد الحاج محمد باشا,Qarā Muḥammad ʻAlī,"Muhammad 'Ali, governor of Egypt(1699-1704)",زاوية الأربعين,Zâouyet el-Arba’yn,b,minaret,1113,1701,N/A,1701,الحاج محمد باشا,al-Ḥājj Muḥammad Bāshā,al-Hajj Muhammad Basha,30.027798,31.258183,9G,10,II,U-4,235,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument377
377,Qara Muhammad 'Ali,مسجد الحاج محمد باشا,Qarā Muḥammad ʻAlī,"Muhammad 'Ali, governor of Egypt(1699-1704)",زاوية الأربعين,Zâouyet el-Arba’yn,c,mosque,1113,1701,N/A,1701,الحاج محمد باشا,al-Ḥājj Muḥammad Bāshā,al-Hajj Muhammad Basha,30.027858,31.258228,9G,10,II,U-4,235,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument377
377,Qara Muhammad 'Ali,مسجد الحاج محمد باشا,Qarā Muḥammad ʻAlī,"Muhammad 'Ali, governor of Egypt(1699-1704)",زاوية الأربعين,Zâouyet el-Arba’yn,d,hammam,1113,1701,N/A,1701,الحاج محمد باشا,al-Ḥājj Muḥammad Bāshā,al-Hajj Muhammad Basha,N/A,N/A,9G,10,II,U-4,235,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument377
378,Sayyida 'A'isha,مسجد السيدة عائشة النبوية ( القديم ),Sayyida ʻĀʼisha,"Abd al-Rahman Katkhuda in 1762, rebuilt in 1895",جامع ستي عائشه النبويه,Gâma’ Sitty A’âycheh el-Nabaouyeh,a,minaret,1175,1762,1762,1895,السيدة عائشة,al-Sayyida ʻĀʼisha,al-Sayyida Aisha,30.024711,31.256831,9G,10,II,X-5,37,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument378
378,Sayyida 'A'isha,مسجد السيدة عائشة النبوية ( القديم ),Sayyida ʻĀʼisha,"Abd al-Rahman Katkhuda in 1762, rebuilt in 1895",جامع ستي عائشه النبويه,Gâma’ Sitty A’âycheh el-Nabaouyeh,b,mosque,1175,1762,1762,1895,السيدة عائشة,al-Sayyida ʻĀʼisha,al-Sayyida Aisha,30.024812,31.25668,9G,10,II,X-5,37,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument378
378,Sayyida 'A'isha,مسجد السيدة عائشة النبوية ( القديم ),Sayyida ʻĀʼisha,"Abd al-Rahman Katkhuda in 1762, rebuilt in 1895",جامع ستي عائشه النبويه,Gâma’ Sitty A’âycheh el-Nabaouyeh,c,mausoleum,1175,1762,1762,1895,السيدة عائشة,al-Sayyida ʻĀʼisha,al-Sayyida Aisha,30.024666,31.256718,9G,10,II,X-5,37,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument378
379,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument379
380,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument380
381,Janbalat,مسجد وسبيل جنبلاط,Jānbalāṭ,Amir Ganbalat al-Ashrafi,جامع علي أغا,Gâma’ A’ly aghâ,a,minaret,1212,1797,N/A,1797,جنبلاط,Janbalāṭ,Janbalat,30.039176,31.248131,6E,N/A,III,P-10,73,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument381
381,Janbalat,مسجد وسبيل جنبلاط,Jānbalāṭ,Amir Ganbalat al-Ashrafi,جامع علي أغا,Gâma’ A’ly aghâ,b,mosque,1212,1797,N/A,1797,جنبلاط,Janbalāṭ,Janbalat,30.039238,31.248158,6E,N/A,III,P-10,73,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument381
381,Janbalat,مسجد وسبيل جنبلاط,Jānbalāṭ,Amir Ganbalat al-Ashrafi,سبيل علي أغا,Sibyl A’ly aghâ ,c,sabil,1212,1797,N/A,1797,جنبلاط,Janbalāṭ,Janbalat,30.039192,31.248017,6E,N/A,III,P-11,72,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument381
382,Sulayman Agha as-Silahdar,مسجد وسبيل سليمان اغا السلحدار,Sulaymān Āghā as-Silāḥdār,"Sulayman Agha as-Silahdar, minister of Muhammad 'Ali",زاوية البرجوام,Zâouyet el-Bergaouâm,a,minaret,1255,1839,1839,1837,سليمان اغا السلحدار,Sulaymān Aghā al-Silaḥdār,Sulayman Agha al-Silahdar,30.052508,31.261945,3H,18,V,G-6,71,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument382
382,Sulayman Agha as-Silahdar,مسجد وسبيل سليمان اغا السلحدار,Sulaymān Āghā as-Silāḥdār,"Sulayman Agha as-Silahdar, minister of Muhammad 'Ali",زاوية البرجوام,Zâouyet el-Bergaouâm,b,mosque,1255,1839,1839,1837,سليمان اغا السلحدار,Sulaymān Aghā al-Silaḥdār,Sulayman Agha al-Silahdar,30.052581,31.261885,3H,18,V,G-6,71,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument382
382,Sulayman Agha as-Silahdar,مسجد وسبيل سليمان اغا السلحدار,Sulaymān Āghā as-Silāḥdār,"Sulayman Agha as-Silahdar, minister of Muhammad 'Ali",زاوية البرجوام,Zâouyet el-Bergaouâm,c,bab,1255,1839,1839,1837,سليمان اغا السلحدار,Sulaymān Aghā al-Silaḥdār,Sulayman Agha al-Silahdar,30.052261,31.261826,3H,18,V,G-6,71,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument382
382,Sulayman Agha as-Silahdar,مسجد وسبيل سليمان اغا السلحدار,Sulaymān Āghā as-Silāḥdār,"Sulayman Agha as-Silahdar, minister of Muhammad 'Ali",زاوية البرجوام,Zâouyet el-Bergaouâm,d,sabil kuttab,1255,1839,1839,1837,سليمان اغا السلحدار,Sulaymān Aghā al-Silaḥdār,Sulayman Agha al-Silahdar,30.052352,31.261865,3H,18,V,G-6,71,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument382
